Model,MAE,RMSE,R2
LinearRegression,222.8825055216137,388.2237148390636,0.13993581548374412
DecisionTree,200.3730518842656,361.28056145516615,0.2551721085614316
KNeighbors,212.77419342355276,377.9139423343126,0.18500945556099557
